1,1,Joya recargando 3,"Adorno con el que potenciar la habilidad Munición+.
Munición+",Narwa de trueno,"1,500z
Joya campo batalla x5
Vesícula de Ibushi x3
Colmillo de Nargacuga+ x3
Colmillo de Jyuratodus+ x2"
2,1,Joya guardián 3,"Adorno con el que potenciar la habilidad Bloqueo agresivo.
Bloqueo agresivo",Narwa de trueno,"1,500z
Joya campo batalla x5
Cuero de Ibushi+ x3
Garra de Volvidon+ x3
Médula de Diablos x2"
3,1,Joya micótica 3,"Adorno con el que potenciar la habilidad Experto en setas.
Experto en setas",Narwa de trueno,"1,500z
Joya campo batalla x5
Fauces de Tigrex x1
Colmillo de Anjanath+ x3
Mandrágora x3"
4,1,Joya desenfunde 3,"Adorno con el que potenciar la habilidad Desenfundar.
Desenfundar",Narwa de trueno,"1,500z
Joya campo batalla x4
Garra de Ibushi+ x3
Cuerno majestuoso x2
Colmillo ámbar+ x1"
5,1,Joya precisa 2,"Adorno con el que potenciar la habilidad Precisión.
Precisión",Narwa de trueno,"1,500z
Joya campo batalla x5
Garra de Narwa+ x2
Garra de Zinogre+ x3
Médula de Diablos x1"
6,1,Joya crítica 2,"Adorno con el que potenciar la habilidad Elemento crítico.
Elemento crítico",Narwa de trueno,"1,500z
Joya campo batalla x4
Sangre de dragón anciano x2
Bloque de hielo+ x2
Electrodo Tobi-Kadachi+ x1"
7,1,Joya artillería 2,"Adorno con el que potenciar la habilidad Artillería.
Artillería",Magnamalo,"1,500z
Joya campo batalla x4
Escama de Magnamalo+ x4
Vesícula Pukei-Pukei+ x2
Pico de Tetranadon+ x1"
8,1,Joya de impulso 2,"Adorno con el que potenciar la habilidad Esprint.
Esprint",Narwa de trueno,"1,500z
Joya campo batalla x4
Electropelo de Zinogre x3
Coraza de Diablos x3
Garra de Ludroth Real+ x2"
9,1,Joya cargadora 2,"Adorno con el que potenciar la habilidad Tiempo de carga.
Tiempo de carga",Narwa de trueno,"1,500z
Joya campo batalla x5
Vesícula de Ibushi x3
Placa de Magnamalo+ x3
Médula de Rathalos x2"
10,1,Joya ojo mental 2,"Adorno con el que potenciar la habilidad Ojo mental.
Ojo mental",Tigrex,"1,500z
Joya campo batalla x5
Cuero de Goss Harag+ x2
Pelo violeta Mizutsune+ x3
Piel de Rajang dorado x2"
11,1,Joya de potencia 2,"Adorno con el que potenciar la habilidad Heroicidad.
Heroicidad",Diablos,"1,500z
Joya campo batalla x5
Cola de Rajang x2
Cuerno majestuoso x2
Escama de Tigrex+ x2"
12,1,Joya tirofijo 2,"Adorno con el que potenciar la habilidad Tiro especial.
Tiro especial",Almudron,"1,500z
Joya campo batalla x4
Garra de Almudron+ x2
Aleta de Somnacanth+ x2
Garra de Mizutsune+ x2"
13,1,Joya almacén 2,"Adorno con el que potenciar la habilidad Cargar arma.
Cargar arma",Goss Harag,"1,500z
Joya campo batalla x4
Cuerno de Goss Harag+ x2
Cajacola de Bishaten+ x2
Gema bestial x1"
14,1,Joya escudo 2,"Adorno con el que potenciar la habilidad Escudo.
Escudo",Narwa de trueno,"1,500z
Joya campo batalla x4
Coraza de Narwa x3
Brazales Goss Harag+ x3
Pleura de Basarios+ x2"
15,1,Joya de guardia 2,"Adorno con el que potenciar la habilidad Guardia mejorada.
Guardia mejorada",Narwa de trueno,"1,500z
Joya campo batalla x4
Vesícula de Narwa x3
Aleta de Almudron+ x3
Disco de Tetranadon+ x2"
