1,3,7,1500,50,1
2,3,7,1500,36,1
3,3,7,1500,85,1
4,3,7,1500,37,1
5,2,6,1500,26,1
6,2,6,1500,11,1
7,2,7,1500,44,1
8,2,7,1500,31,1
9,2,7,1500,29,1
10,2,7,1500,25,1
11,2,6,1500,89,1
12,2,6,1500,46,1
13,2,6,1500,45,1
14,2,6,1500,35,1
15,2,6,1500,34,1
16,2,6,1500,33,1
17,2,6,1500,30,1
18,2,6,1500,10,1
19,2,6,1500,1,1
20,2,6,1500,6,1
21,2,5,1000,101,1
22,1,5,1000,52,1
23,2,5,1000,27,1
24,1,5,1000,51,1
25,1,5,1000,75,1
26,2,5,1000,62,1
27,3,5,1000,60,1
28,2,5,750,100,1
29,2,5,750,63,1
30,1,5,750,53,1
31,2,5,750,38,1
32,2,5,750,65,1
33,2,5,750,64,1
34,1,5,750,91,1
35,2,5,750,39,1
36,1,5,750,61,1
37,2,5,750,40,1
38,2,5,750,87,1
39,2,5,750,80,1
40,2,5,750,71,1
41,2,5,750,59,1
42,2,5,750,56,1
43,2,4,500,99,1
44,2,4,500,98,1
45,1,4,500,83,1
46,2,4,500,86,1
47,1,4,500,58,1
48,2,4,500,57,1
49,1,4,500,43,1
50,1,4,500,41,1
51,2,4,500,32,1
52,1,5,500,17,1
53,1,4,500,42,1
54,1,4,500,84,1
55,1,5,500,12,1
56,1,5,500,13,1
57,1,5,500,14,1
58,1,5,500,15,1
59,1,5,500,16,1
60,1,5,500,55,1
61,1,4,250,93,1
62,2,4,250,97,1
63,1,4,250,94,1
64,1,4,250,88,1
65,1,4,250,76,1
66,1,4,250,96,1
67,1,4,250,95,1
68,2,4,250,90,1
69,1,4,250,79,1
70,1,4,250,78,1
71,1,4,250,77,1
72,1,4,250,74,1
73,1,4,250,73,1
74,1,4,250,72,1
75,1,4,250,66,1
76,1,4,250,67,1
77,1,4,250,68,1
78,1,4,250,69,1
79,1,4,250,70,1
