1,1,cactus bola,objeto de cuenta,-,Cactus en llanos arenosos,,
2,1,lagrima de bestia,objeto de cuenta,-,"Dejado por Arzuros, Lagombi, Volvidon, Bishaten, and Goss Harag",,
3,1,prisma de bismuto,objeto de cuenta,-,Mineral iridiscente en las grutas de lava,,
4,1,botelmeja,objeto de cuenta,-,Lechos de ostras en Islas heladas,,
5,1,seta selecta,objeto de cuenta,-,Se obtiene de las colonias de hongos,,
6,1,brote selecto,objeto de cuenta,-,Shoot patch en Templo olvidado,,
7,1,carbon,objeto de cuenta,-,Afloramientos mineros en Grutas de lava,,
8,1,tesoro de dragon,objeto de cuenta,-,Dejado por dragones ancianos,,
9,1,esencia de zangano,objeto de cuenta,-,"Rakna Kadaki, rango alto (10%)",,
10,1,especia fabulosa,objeto de cuenta,-,Cajas en Templo olvidado,,
11,1,farolillo volador,objeto de cuenta,-,Shimmering Red Berries en Templo olvidado,*,
12,1,huevo de gargwa,objeto de cuenta,-,Se obtiene al asustar a un gargwa para que lo ponga,,
13,1,huevo oro gargwa,objeto de cuenta,-,Se obtiene al asustar a un gargwa para que lo ponga,,
14,1,huevo de herbivoro,objeto de cuenta,-,Llanos arenosos zona 11,,
15,1,rinoceronte rey,objeto de cuenta,-,Rinocerontes brillantes en el bosque inundado.,,
16,1,lagrima de bestia grande,objeto de cuenta,-,"Dejado por Rajang de rango bajo y Arzuros, Volvidon, Lagombi, Bishaten y Goss Harag de rango alto.",,
17,1,lagrima de wyvern g,objeto de cuenta,-,Dejado por la mayoría de los wyverns grandes,,
18,1,tripas de monstruo,objeto de cuenta,-,Cazando delex en llanos arenosos,,
19,1,lengua de popo,objeto de cuenta,-,Cazando popos en islas heladas,,
20,1,balsalmeja,objeto de cuenta,-,Lechos de ostras de las islas heladas,,
21,1,rosa rocosa,objeto de cuenta,-,Rosas deserticas en llanos arenosos,,
22,1,bellota redonda,objeto de cuenta,-,Se obtiene de felynes,,
23,1,prisma sencillo,objeto de cuenta,-,Puntos de recoleccion cristales claros en bosque inundado,,
24,1,brote imperial,objeto de cuenta,-,Shoot patch en Templo olvidado,,
25,1,seta especial,objeto de cuenta,-,Colonias de hongos en Templo olvidado,,*
26,1,farolillo fatuo,objeto de cuenta,-,Shimmering Red Berries en Templo olvidado,,*
27,1,lagrima de wyvern,objeto de cuenta,-,Dejado por monstruos grandes,,
28,1,d armadura,municion y viales,-,Mercado y lista de objetos,,
29,1,vial de nitro,municion y viales,-,Mercado y lista de objetos,,
30,1,d racimo nv1,municion y viales,-,Mercado y lista de objetos,,
31,1,d racimo nv2,municion y viales,-,Mercado y lista de objetos,,
32,1,d racimo nv3,municion y viales,-,Mercado y lista de objetos,,
